,AllScores,AllAiScores,AllScores_flat
0,"[-15.935805368467598, -14.211701606156252, -14.832717867265112, -15.083355693896518, -15.799450283547605, -16.183168823000333, -15.885901024107104, -15.948167978129334, -14.126385664371291, -16.1241632943175, -15.792684995227306, -14.54289726761845, -16.869862545578368, -16.275114239093348, -15.98541048566862, -15.685022366982565]",0,-15.935805368467598
1,"[-15.33975584098379, -15.881809409124173, -14.526387044164883, -14.51586994524514, -15.941122969848784, -14.090379144859238, -15.840615508354821, -15.506682959465003, -15.684035371474199, -14.504123250392862, -15.211758742387488, -16.289172618381684, -14.172855037402195, -14.223465189058127, -13.746726091403279, -15.97893335576507]",0,-14.211701606156252
2,"[-15.56236637531419, -15.986480900258488, -15.258903507469519, -14.784594288365659, -14.290799168854534, -16.065092687618588, -16.04829693694389, -15.35736286289794, -16.10862571752802, -15.834143927170928, -15.260671290861218, -15.694619478488633, -15.930183261927182, -15.714274688202153, -14.513207113410736, -15.741903783491264]",0,-14.832717867265112
3,"[-15.977659462862457, -16.16874828824231, -15.479429846551263, -16.04813604593447, -14.256051550511359, -13.866891216543717, -16.06479102517905, -15.654613467064308, -14.962186755109844, -15.041890780733246, -15.901987343540867, -14.552223035064872, -16.023856851860938, -14.833540726108868, -14.719973759963665, -15.200825954320976]",0,-15.083355693896518
4,"[-16.444722049884916, -15.627283792202402, -15.309157813065678, -15.775743189818158, -16.017269148870863, -14.989944136042993, -15.045578798627307, -14.985546167184772, -14.926343279712505, -15.719130156409356, -15.128675897372963, -15.556473535960809, -15.06010508005941, -15.157547619077178, -14.163816148706468, -14.192016802687284]",0,-15.799450283547605
5,,0,-16.183168823000333
6,,0,-15.885901024107104
7,,0,-15.948167978129334
8,,0,-14.126385664371291
9,,0,-16.1241632943175
10,,0,-15.792684995227306
11,,0,-14.54289726761845
12,,0,-16.869862545578368
13,,0,-16.275114239093348
14,,0,-15.98541048566862
15,,0,-15.685022366982565
16,,20,-15.33975584098379
17,,20,-15.881809409124173
18,,20,-14.526387044164883
19,,20,-14.51586994524514
20,,20,-15.941122969848784
21,,20,-14.090379144859238
22,,20,-15.840615508354821
23,,20,-15.506682959465003
24,,20,-15.684035371474199
25,,20,-14.504123250392862
26,,20,-15.211758742387488
27,,20,-16.289172618381684
28,,20,-14.172855037402195
29,,20,-14.223465189058127
30,,20,-13.746726091403279
31,,20,-15.97893335576507
32,,40,-15.56236637531419
33,,40,-15.986480900258488
34,,40,-15.258903507469519
35,,40,-14.784594288365659
36,,40,-14.290799168854534
37,,40,-16.065092687618588
38,,40,-16.04829693694389
39,,40,-15.35736286289794
40,,40,-16.10862571752802
41,,40,-15.834143927170928
42,,40,-15.260671290861218
43,,40,-15.694619478488633
44,,40,-15.930183261927182
45,,40,-15.714274688202153
46,,40,-14.513207113410736
47,,40,-15.741903783491264
48,,60,-15.977659462862457
49,,60,-16.16874828824231
50,,60,-15.479429846551263
51,,60,-16.04813604593447
52,,60,-14.256051550511359
53,,60,-13.866891216543717
54,,60,-16.06479102517905
55,,60,-15.654613467064308
56,,60,-14.962186755109844
57,,60,-15.041890780733246
58,,60,-15.901987343540867
59,,60,-14.552223035064872
60,,60,-16.023856851860938
61,,60,-14.833540726108868
62,,60,-14.719973759963665
63,,60,-15.200825954320976
64,,80,-16.444722049884916
65,,80,-15.627283792202402
66,,80,-15.309157813065678
67,,80,-15.775743189818158
68,,80,-16.017269148870863
69,,80,-14.989944136042993
70,,80,-15.045578798627307
71,,80,-14.985546167184772
72,,80,-14.926343279712505
73,,80,-15.719130156409356
74,,80,-15.128675897372963
75,,80,-15.556473535960809
76,,80,-15.06010508005941
77,,80,-15.157547619077178
78,,80,-14.163816148706468
79,,80,-14.192016802687284
