,AllScores,AllAiScores
0,55185.22575517769,0
1,53655.73924807313,0
2,53073.34827777045,0
3,52852.91073022255,0
4,54123.027963682645,0
5,51042.10345592597,0
6,45079.38462275877,0
7,56789.032270812386,0
8,55620.76688941234,0
9,53886.80036130237,0
10,52907.710410645435,0
11,54950.17745164973,0
12,49898.951918830724,0
13,54892.921578713496,0
14,53362.399705319585,0
15,55707.21619278149,0
16,52012.95333851584,20
17,48150.23162066006,20
18,46469.4827619648,20
19,54520.9129794477,20
20,55019.13969585348,20
21,55017.33730212558,20
22,54605.274298012046,20
23,51522.693914720214,20
24,55529.27440859461,20
25,54928.69490631154,20
26,54117.754723035476,20
27,53385.52712482601,20
28,52703.53613741429,20
29,53185.03767994487,20
30,53735.89313946323,20
31,52453.78237227641,20
32,53224.0414216176,40
33,53780.60692679767,40
34,51897.737321763874,40
35,52230.77117261149,40
36,45533.77745400358,40
37,54297.828943302775,40
38,54390.87763997956,40
39,55832.5905947314,40
40,54388.82066544032,40
41,52937.49375198135,40
42,54759.108709692526,40
43,53976.849441365295,40
44,54363.369629838555,40
45,51297.6465548984,40
46,54912.30143187947,40
47,48910.54436869253,40
48,56461.195259202694,60
49,53795.99245000417,60
50,48850.1142678674,60
51,54511.44355695099,60
52,58712.55153647839,60
53,55438.37512775981,60
54,53472.36380393092,60
55,54218.55737215603,60
56,56684.16096509131,60
57,55406.75079813507,60
58,58086.307219030015,60
59,54689.38958474406,60
60,53501.933664271375,60
61,52754.48274558762,60
62,53408.86791094207,60
63,45547.77784619077,60
64,54413.221184137765,80
65,53322.40728027563,80
66,55423.12634958768,80
67,54025.39358795055,80
68,57125.043859842575,80
69,50353.21449828731,80
70,53071.28631539709,80
71,56728.02628403291,80
72,56742.00415789223,80
73,52769.100523229004,80
74,56475.13978935673,80
75,56848.79637563944,80
76,57590.660735097,80
77,58382.93581336944,80
78,54704.781678272906,80
79,49725.88812940715,80
